종목코드,종목명,날짜,시간,시가,고가,저가,종가,전일대비,거래량,거래대금,누적체결매도수량,누적체결매수수량,상장주식수,시가총액,외국인주문한도수량,외국인주문가능수량,외국인현보유수량,외국인현보유비율,수정주가일자,수정주가비율,기관순매수량,기관누적순매수량,등락주선,등락비율,예탁금,주식회전율
A000800,경남기업,20210611,1235,10950.0,10950.0,10950.0,10950.0,0.0,18.0,197000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210614,1527,10000.0,10000.0,10000.0,10000.0,0.0,50.0,500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210614,1259,10000.0,10050.0,10000.0,10050.0,0.0,29.0,290000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210614,1246,10000.0,10000.0,10000.0,10000.0,0.0,8.0,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210614,1243,10000.0,10000.0,10000.0,10000.0,0.0,35.0,350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210614,1221,10950.0,10950.0,10000.0,10000.0,0.0,2.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210614,1203,10950.0,10950.0,10950.0,10950.0,0.0,11.0,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210614,1111,10950.0,10950.0,10950.0,10950.0,0.0,19.0,209000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210614,1019,10950.0,10950.0,10950.0,10950.0,0.0,1.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210616,1424,10950.0,10950.0,10700.0,10850.0,0.0,14.0,152000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210615,1346,10400.0,10400.0,10400.0,10400.0,0.0,2.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210618,1152,11000.0,11000.0,11000.0,11000.0,0.0,8.0,88000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210618,1016,11050.0,11050.0,11050.0,11050.0,0.0,36.0,397000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210617,1323,10800.0,10800.0,10800.0,10800.0,0.0,11.0,118000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210622,1435,10900.0,10900.0,10900.0,10900.0,0.0,7.0,76000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210622,1329,10900.0,10900.0,10900.0,10900.0,0.0,2.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210622,1327,10500.0,10500.0,10500.0,10500.0,0.0,1.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210622,1135,10900.0,10900.0,10900.0,10900.0,0.0,11.0,119000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210621,1504,10950.0,10950.0,10950.0,10950.0,0.0,22.0,240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210623,1337,11000.0,11000.0,11000.0,11000.0,0.0,4.0,44000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210623,926,11000.0,11000.0,11000.0,11000.0,0.0,7.0,77000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210625,1359,11000.0,11000.0,11000.0,11000.0,0.0,9.0,99000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210625,1208,11000.0,11000.0,11000.0,11000.0,0.0,19.0,209000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210628,1031,11000.0,11000.0,11000.0,11000.0,0.0,19.0,209000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210630,943,11000.0,11000.0,11000.0,11000.0,0.0,1.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210629,937,11000.0,11000.0,11000.0,11000.0,0.0,17.0,187000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210702,1512,11000.0,11000.0,11000.0,11000.0,0.0,5.0,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210702,1500,10950.0,10950.0,10950.0,10950.0,0.0,1.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210702,1451,10050.0,10050.0,10050.0,10050.0,0.0,1.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210706,1357,14300.0,14300.0,14300.0,14300.0,0.0,5.0,72000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210706,1146,14300.0,14300.0,14300.0,14300.0,0.0,21.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210706,1131,14300.0,14300.0,14300.0,14300.0,0.0,1.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210706,1118,14300.0,14300.0,14300.0,14300.0,0.0,1.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210706,1038,11000.0,11000.0,11000.0,11000.0,0.0,768.0,8448000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210706,1026,11000.0,11000.0,11000.0,11000.0,0.0,1.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210705,1058,11000.0,11000.0,11000.0,11000.0,0.0,34.0,374000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210708,1527,11950.0,11950.0,11950.0,11950.0,0.0,3.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000800,경남기업,20210708,1506,11950.0,11950.0,11950.0,11950.0,0.0,7.0,83000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
