Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°£,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,ÀüÀÏ´ëºñ,°Å·¡·®,°Å·¡´ë±Ý,´©ÀûÃ¼°á¸Åµµ¼ö·®,´©ÀûÃ¼°á¸Å¼ö¼ö·®,»óÀåÁÖ½Ä¼ö,½Ã°¡ÃÑ¾×,¿Ü±¹ÀÎÁÖ¹®ÇÑµµ¼ö·®,¿Ü±¹ÀÎÁÖ¹®°¡´É¼ö·®,¿Ü±¹ÀÎÇöº¸À¯¼ö·®,¿Ü±¹ÀÎÇöº¸À¯ºñÀ²,¼öÁ¤ÁÖ°¡ÀÏÀÚ,¼öÁ¤ÁÖ°¡ºñÀ²,±â°ü¼ø¸Å¼ö·®,±â°ü´©Àû¼ø¸Å¼ö·®,µî¶ôÁÖ¼±,µî¶ôºñÀ²,¿¹Å¹±Ý,ÁÖ½ÄÈ¸ÀüÀ²
A000075,»ï¾çÈ¦µù½º¿ì,20210614,1530,76000.0,76000.0,76000.0,76000.0,0.0,2.0,160000.0,0.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210614,1431,75500.0,75500.0,75500.0,75500.0,0.0,100.0,7550000.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210614,1401,75500.0,75500.0,75500.0,75500.0,0.0,1.0,70000.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210614,1301,76000.0,76000.0,76000.0,76000.0,0.0,10.0,760000.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210614,1231,76000.0,76000.0,76000.0,76000.0,0.0,6.0,460000.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210614,1131,76300.0,76300.0,76300.0,76300.0,0.0,9.0,680000.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210614,1101,76100.0,76100.0,76100.0,76100.0,0.0,5.0,390000.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210614,1001,76000.0,76000.0,76000.0,76000.0,0.0,99.0,7520000.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210614,931,75900.0,75900.0,75900.0,75900.0,0.0,4.0,300000.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000075,»ï¾çÈ¦µù½º¿ì,20210614,901,76000.0,76000.0,76000.0,76000.0,0.0,2.0,150000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
