辆格内靛,辆格疙,朝楼,矫埃,矫啊,绊啊,历啊,辆啊,傈老措厚,芭贰樊,芭贰措陛,穿利眉搬概档荐樊,穿利眉搬概荐荐樊,惑厘林侥荐,矫啊醚咀,寇惫牢林巩茄档荐樊,寇惫牢林巩啊瓷荐樊,寇惫牢泅焊蜡荐樊,寇惫牢泅焊蜡厚啦,荐沥林啊老磊,荐沥林啊厚啦,扁包鉴概荐樊,扁包穿利鉴概荐樊,殿遏林急,殿遏厚啦,抗殴陛,林侥雀傈啦
A000650,玫老绊加,20210614,1530,78400.0,78400.0,78400.0,78400.0,0.0,21.0,1650000.0,1884.0,614.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1520,78400.0,78400.0,78400.0,78400.0,0.0,1.0,70000.0,1884.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1519,78500.0,78500.0,78500.0,78500.0,0.0,2.0,160000.0,1884.0,592.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1517,78400.0,78500.0,78400.0,78500.0,0.0,27.0,2120000.0,1884.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1516,78400.0,78500.0,78400.0,78500.0,0.0,3.0,230000.0,1884.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1506,78400.0,78500.0,78400.0,78500.0,0.0,18.0,1420000.0,1884.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1454,78500.0,78500.0,78500.0,78500.0,0.0,4.0,310000.0,1884.0,542.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1453,78300.0,78500.0,78300.0,78500.0,0.0,3.0,240000.0,1884.0,538.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1450,78000.0,78000.0,78000.0,78000.0,0.0,3.0,230000.0,1884.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1448,78000.0,78000.0,78000.0,78000.0,0.0,11.0,860000.0,1881.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1445,78300.0,78400.0,78300.0,78400.0,0.0,5.0,390000.0,1870.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1440,78100.0,78100.0,77800.0,77900.0,0.0,228.0,17770000.0,1870.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1436,78100.0,78100.0,78100.0,78100.0,0.0,26.0,2030000.0,1642.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1435,78100.0,78100.0,78100.0,78100.0,0.0,75.0,5860000.0,1616.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1434,78200.0,78200.0,78200.0,78200.0,0.0,17.0,1330000.0,1541.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1432,78200.0,78200.0,78200.0,78200.0,0.0,1.0,80000.0,1541.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1431,78200.0,78200.0,78200.0,78200.0,0.0,1.0,70000.0,1540.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1430,78200.0,78200.0,78200.0,78200.0,0.0,64.0,5010000.0,1539.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1339,78500.0,78500.0,78500.0,78500.0,0.0,1.0,80000.0,1475.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1334,78500.0,78500.0,78500.0,78500.0,0.0,5.0,390000.0,1475.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1332,78500.0,78500.0,78500.0,78500.0,0.0,2.0,160000.0,1470.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1327,78500.0,78500.0,78500.0,78500.0,0.0,11.0,860000.0,1470.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1326,78500.0,78500.0,78500.0,78500.0,0.0,19.0,1490000.0,1459.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1316,78500.0,78500.0,78500.0,78500.0,0.0,7.0,550000.0,1459.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1310,78500.0,78500.0,78500.0,78500.0,0.0,1.0,80000.0,1459.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1308,78500.0,78500.0,78500.0,78500.0,0.0,2.0,160000.0,1459.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1304,78500.0,78500.0,78500.0,78500.0,0.0,5.0,390000.0,1459.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1303,78500.0,78500.0,78500.0,78500.0,0.0,2.0,160000.0,1459.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1302,78500.0,78500.0,78500.0,78500.0,0.0,10.0,780000.0,1459.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1257,78500.0,78500.0,78500.0,78500.0,0.0,1.0,80000.0,1459.0,464.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1256,78200.0,78200.0,78200.0,78200.0,0.0,2.0,160000.0,1459.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1248,78100.0,78100.0,78100.0,78100.0,0.0,1.0,70000.0,1457.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1247,78200.0,78200.0,78100.0,78100.0,0.0,40.0,3130000.0,1456.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1241,78600.0,78600.0,78600.0,78600.0,0.0,6.0,470000.0,1416.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1237,78600.0,78600.0,78600.0,78600.0,0.0,4.0,310000.0,1410.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1236,78600.0,78600.0,78600.0,78600.0,0.0,9.0,710000.0,1406.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000650,玫老绊加,20210614,1224,78600.0,78600.0,78600.0,78600.0,0.0,2.0,160000.0,1406.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
