종목코드,종목명,날짜,시간,시가,고가,저가,종가,전일대비,거래량,거래대금,누적체결매도수량,누적체결매수수량,상장주식수,시가총액,외국인주문한도수량,외국인주문가능수량,외국인현보유수량,외국인현보유비율,수정주가일자,수정주가비율,기관순매수량,기관누적순매수량,등락주선,등락비율,예탁금,주식회전율
A000145,하이트진로홀딩스우,20210614,1530,20150.0,20150.0,20150.0,20150.0,0.0,566.0,11410000.0,0.0,6291.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000145,하이트진로홀딩스우,20210614,1501,20150.0,20150.0,20150.0,20150.0,0.0,896.0,18050000.0,0.0,5725.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000145,하이트진로홀딩스우,20210614,1431,20150.0,20150.0,20150.0,20150.0,0.0,400.0,8060000.0,0.0,4829.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000145,하이트진로홀딩스우,20210614,1401,20200.0,20200.0,20200.0,20200.0,0.0,82.0,1660000.0,0.0,4429.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000145,하이트진로홀딩스우,20210614,1331,20200.0,20200.0,20200.0,20200.0,0.0,105.0,2120000.0,0.0,4347.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000145,하이트진로홀딩스우,20210614,1301,20200.0,20200.0,20200.0,20200.0,0.0,157.0,3170000.0,0.0,4242.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000145,하이트진로홀딩스우,20210614,1231,20100.0,20100.0,20100.0,20100.0,0.0,127.0,2550000.0,0.0,4085.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000145,하이트진로홀딩스우,20210614,1201,20100.0,20100.0,20100.0,20100.0,0.0,357.0,7180000.0,0.0,3958.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000145,하이트진로홀딩스우,20210614,1131,20050.0,20050.0,20050.0,20050.0,0.0,905.0,18140000.0,0.0,3601.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000145,하이트진로홀딩스우,20210614,1101,20050.0,20050.0,20050.0,20050.0,0.0,631.0,12650000.0,0.0,2696.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000145,하이트진로홀딩스우,20210614,1031,20000.0,20000.0,20000.0,20000.0,0.0,1209.0,24180000.0,0.0,2065.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000145,하이트진로홀딩스우,20210614,1001,20150.0,20150.0,20150.0,20150.0,0.0,255.0,5140000.0,0.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000145,하이트진로홀딩스우,20210614,931,20200.0,20200.0,20200.0,20200.0,0.0,378.0,7640000.0,0.0,601.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
