Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°£,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,ÀüÀÏ´ëºñ,°Å·¡·®,°Å·¡´ë±Ý,´©ÀûÃ¼°á¸Åµµ¼ö·®,´©ÀûÃ¼°á¸Å¼ö¼ö·®,»óÀåÁÖ½Ä¼ö,½Ã°¡ÃÑ¾×,¿Ü±¹ÀÎÁÖ¹®ÇÑµµ¼ö·®,¿Ü±¹ÀÎÁÖ¹®°¡´É¼ö·®,¿Ü±¹ÀÎÇöº¸À¯¼ö·®,¿Ü±¹ÀÎÇöº¸À¯ºñÀ²,¼öÁ¤ÁÖ°¡ÀÏÀÚ,¼öÁ¤ÁÖ°¡ºñÀ²,±â°ü¼ø¸Å¼ö·®,±â°ü´©Àû¼ø¸Å¼ö·®,µî¶ôÁÖ¼±,µî¶ôºñÀ²,¿¹Å¹±Ý,ÁÖ½ÄÈ¸ÀüÀ²
A000547,Èï±¹È­Àç2¿ìB,20210614,1530,32500.0,32500.0,32500.0,32500.0,0.0,132.0,4290000.0,0.0,2192.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,1501,32050.0,32050.0,32050.0,32050.0,0.0,63.0,2020000.0,0.0,2072.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,1431,32000.0,32000.0,32000.0,32000.0,0.0,156.0,4990000.0,0.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,1401,32500.0,32500.0,32500.0,32500.0,0.0,5.0,160000.0,0.0,1853.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,1331,32500.0,32500.0,32500.0,32500.0,0.0,5.0,170000.0,0.0,1848.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,1301,32500.0,32500.0,32500.0,32500.0,0.0,335.0,10880000.0,0.0,1843.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,1231,32500.0,32500.0,32500.0,32500.0,0.0,191.0,6210000.0,0.0,1508.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,1201,32550.0,32550.0,32550.0,32550.0,0.0,182.0,5920000.0,0.0,1317.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,1131,32500.0,32500.0,32500.0,32500.0,0.0,186.0,6050000.0,0.0,1135.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,1101,32450.0,32450.0,32450.0,32450.0,0.0,131.0,4250000.0,0.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,1031,32400.0,32400.0,32400.0,32400.0,0.0,367.0,11890000.0,0.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,1001,32450.0,32450.0,32450.0,32450.0,0.0,289.0,9380000.0,0.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,931,31900.0,31900.0,31900.0,31900.0,0.0,82.0,2610000.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210614,901,32500.0,32500.0,32500.0,32500.0,0.0,80.0,2600000.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210616,1530,34200.0,34200.0,34200.0,34200.0,0.0,358.0,12240000.0,0.0,6469.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210616,1501,34300.0,34300.0,34300.0,34300.0,0.0,629.0,21580000.0,0.0,6111.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210616,1431,34350.0,34350.0,34350.0,34350.0,0.0,495.0,17000000.0,0.0,5482.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210616,1401,34000.0,34000.0,34000.0,34000.0,0.0,180.0,6120000.0,0.0,4987.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210616,1331,33900.0,33900.0,33900.0,33900.0,0.0,163.0,5530000.0,0.0,4807.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210616,1301,33900.0,33900.0,33900.0,33900.0,0.0,219.0,7420000.0,0.0,4644.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210616,1231,33600.0,33600.0,33600.0,33600.0,0.0,437.0,14680000.0,0.0,4425.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210616,1201,33700.0,33700.0,33700.0,33700.0,0.0,160.0,5400000.0,0.0,3988.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210616,1131,34000.0,34000.0,34000.0,34000.0,0.0,679.0,23080000.0,0.0,3828.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210616,1101,34150.0,34150.0,34150.0,34150.0,0.0,768.0,26230000.0,0.0,3149.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A000547,Èï±¹È­Àç2¿ìB,20210616,1031,33800.0,33800.0,33800.0,33800.0,0.0,436.0,14740000.0,0.0,2381.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
