date,title,link,content
None,None,https://sports.news.naver.com/news.nhn?oid=410&aid=0000941016,[]
None,None,https://sports.news.naver.com/news.nhn?oid=025&aid=0003280562,[]
None,None,https://sports.news.naver.com/news.nhn?oid=055&aid=0001062856,[]
None,None,https://sports.news.naver.com/news.nhn?oid=001&aid=0013981281,[]
None,None,https://sports.news.naver.com/news.nhn?oid=439&aid=0000026054,[]
2023.06.20. 오전 7:33,"
			[문화연예 플러스] 그래미 ""AI로만 만든 노래, 상 못 받는다""
		",https://n.news.naver.com/mnews/article/214/0001280265?sid=106,"[
[뉴스투데이]미국 최고 권위 대중음악 시상식인 '그래미 어워즈'가 인공지능, AI로 만든 노래는 참가 자격이 없다는 규정을 만들었습니다. 그래미 어워즈를 주최하는 미국 음악 전문가 단체인 레코딩 아카데미는 창작자로서 인간만이 시상식에 참가할 수 있다는 조항을 규정에 추가했고요.AI로부터 어느 정도 도움을 받은 경우 수상은 가능하지만, 인공지능이 노래 전체를 만들었다면 상을 받을 수 없다고 명시했습니다.이번 결정은, 지난달 아카데미 이사회가 ""인간 창작자가 음악이나 가사에 '의미 있는' 기여를 했을 경우에만 AI가 일부분 작업을 했어도 참가 자격이 있다""고 결정한 데 따른 겁니다.MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000▷ 이메일 mbcjebo@mbc.co.kr▷ 카카오톡 @mbc제보
]"
2023.06.19. 오후 4:32,"
			인공지능이 낳은 'AI돌' 에이미문, &lt;마음을 주세요&gt; 신곡 발매
		",https://n.news.naver.com/mnews/article/047/0002396146?sid=106,"[
버추얼 싱어송라이터, 생성형 AI 기술 적용... 경콘진 문화기술 유통지원 사업의 성과 
▲  생성성 인공지능으로 만들어진 'AI돌' 버추얼 싱어송라이터 '에이미문'(Aimy Moon)ⓒ 경콘진 생성형 AI(인공지능) 기반의 버추얼 싱어송라이터 '에이미문'(Aimy Moon)의 디지털 싱글 &lt;마음을 주세요&gt;가 19일 발매를 시작했다. 'AI돌'로 불리는 '에이미문'의 음반 발매는 경기콘텐츠진흥원(원장 민세희, 이하 경콘진)이 진행한 '2023년 상반기 문화기술 유통확대 지원사업'의 성과다.문화기술(CT, Culture Technology)이란 문화예술 콘텐츠에 디지털 기술을 적용해 유·무형의 부가가치를 높이는 기술로써, 최근 주목을 받는 챗GPT 같은 생성형 AI 기술을 통해 창작의 영역을 극대화하는 것이 대표적인 사례이다.디지털 싱글 &lt;마음을 주세요&gt;는 보컬, 작·편곡, 캐릭터 그리고 뮤직비디오까지 음반을 구성하는 모든 요소에 생성형 AI 기술을 적용했다.우선, 인공지능이 생성한 미디 트랙을 작·편곡에 활용했다. 보컬은 인공지능 보컬 생성 모델을 활용해 일부 파트는 인간의 성대로는 부를 수 없는 영역까지 담아냈다. 특히, 제페토(네이버 증강현실 아바타 서비스)에서 탄생한 '에이미문'을 인공지능의 도움을 받아 실제 사람에 가까운 모습으로 만들었다.이 곡을 위해 엔터아츠, 뉴튠, 오드아이, 크리에이티브마인드 등 국내 인공지능 음악 관련 스타트업들의 노하우가 총동원되었다.  
▲  'AI돌' 버추얼 싱어송라이터 ‘에이미문’(Aimy Moon)의 디지털 싱글 &lt;마음을 주세요&gt; 앨범 커버ⓒ 경콘진  
▲  'AI돌' 버추얼 싱어송라이터 '에이미문’(Aimy Moon)의 디지털 싱글 &lt;마음을 주세요&gt; MV 스틸컷ⓒ 경콘진 '에이미문'의 소속사이자 인공지능 콘텐츠 제작사 엔터아츠의 박찬재 대표는 ""생성형 AI는 이미 음악의 창작과 소비 방식에 새로운 변화를 주도하고 있다""며 ""경콘진 유통지원 사업을 통해 올 8월까지 인공지능으로 제작한 새로운 음원을 추가 공개 예정이니 기대해달라""고 말했다.'에이미문'의 신규 음원은 엔터아츠 유튜브 채널(www.youtube.com/@Enterarts)에서 확인할 수 있다.'2023년 하반기 경콘진 문화기술 유통확대 지원사업', 7월 3일까지 접수한편, 경콘진은 상반기 문화기술 유통확대 지원사업을 통해 6월 말 현대백화점 목동점에서 AR 기술을 접목한 루미퍼즐카드를 선보이고, 7월 하순에는 일본 도쿄 신주쿠비전 LED에 실감 콘텐츠를 송출할 예정이다.2023년 하반기 문화기술 유통확대 지원사업은 7월 3일까지 5개 사를 모집하고 있다. 자세한 내용은 경콘진 누리집(www.gcon.or.kr) 내 사업공고를 참조, 문의는 전화(032-623-8047)나 이메일(onebyone@gcon.or.kr)로 하면 된다.
]"
2023.06.19. 오후 12:26,"
			누누티비 시즌2, 정부 압박에 서비스 종료 선언
		",https://n.news.naver.com/mnews/article/001/0014010734?sid=106,"[
 
누누티비 시즌2 종료 선언[누누티비 시즌2 사이트 캡처. 재판매 및 DB 금지]    (서울=연합뉴스) 이정현 기자 = 국내 온라인 동영상 서비스(OTT) 콘텐츠를 불법으로 스트리밍하던 '누누티비 시즌2'가 정부 제재 발표 하루 만에 서비스 종료를 선언했다.    누누티비 시즌2는 19일 ""심사숙고 끝에 누누티비 시즌2 사이트를 종료한다""고 밝혔다.    그러면서 ""짧은 기간이지만 여러분의 많은 관심에 진심으로 감사드린다""며 ""시즌3 오픈 계획은 없으며 유사 사칭사이트에 유의하길 바란다""고 덧붙였다.    누누티비 시즌2는 누누티비가 폐쇄된 지 두 달만인 이달 초 개설됐다.    이에 과학기술정보통신부는 국내 OTT 업계, 인터넷서비스사업자(ISP), 한국전파진흥협회(RAPA) 등과 함께 하루에도 접속 경로(URL)를 여러 차례 차단하겠다고 전날 발표했다.    누누티비 시즌2는 제재 발표 하루 만에 서비스를 종료했지만 비슷한 사이트가 생겨날 가능성은 여전히 있다.    정부는 인공지능(AI)을 활용해 자동으로 신규 및 대체 불법사이트를 탐지·채증할 수 있는 기술 개발도 추진할 계획이라고 밝혔다.    lisa@yna.co.kr
]"
2023.06.12. 오전 7:00,"
			인공지능이 만들고 부른 노래, 창작일까 저작권 침해일까
		",https://n.news.naver.com/mnews/article/001/0013995357?sid=106,"[
인간 외 주체 저작권 인정 안 돼…학습 과정서 저작권 침해 논란 첨예AI 활용도 높은 K팝 시장…""저작권 개념 진화해야"" 
AI(인공지능)[게티이미지뱅크 제공]    (서울=연합뉴스) 임지우 기자 = 원숭이가 찍은 '셀카'의 저작권은 원숭이에게 있을까? 코끼리가 그린 그림은?    가벼운 해프닝 정도로 여겨졌던 '인간 외 존재의 저작권'에 대한 질문이 최근 문화예술 종사자들 사이에서 묵직한 쟁점이 됐다. 이번엔 동물이 아닌 인공지능(AI)의 창작물이 문학, 미술, 음악 등 분야를 가리지 않고 쏟아져 나오면서다.    K팝 시장도 예외는 아니다. AI 작곡가의 노래를 가수가 불러 발매하고, 나아가 노래를 부를 가수 없이도 AI가 합성한 목소리로 새로운 노래가 탄생하기도 한다.    이 같은 신기술을 시장의 건강한 성장 동력으로 삼기 위해서는 AI 시대에 걸맞은 저작권의 개념을 재정립하고 관리 방침에 대한 논의가 필요하다는 지적이 나온다.  
음악 저작권료(PG)[박은주 제작] 사진합성·일러스트  가수 없이도 노래 만드는 'AI 작곡가'…""기존 저작권 침해"" 반발도    현행법상 인공지능은 창작물에 대한 저작권자로 인정받을 수 없다. 저작권법에서 저작권의 대상인 저작물을 '인간의 사상 또는 감정을 표현한 창작물'로 규정하고 있기 때문이다.     이에 따라 지난해에는 당초 노래의 저작권자로 등록됐던 작곡 AI가 뒤늦게 저작권료 지급 대상에서 제외되는 일도 발생했다.     한국음악저작권협회(한음저협)는 가수 홍진영의 노래 '사랑의 24시간' 등 총 6곡의 저작권자로 등록됐던 작곡 AI '이봄'에 대해 지난해 7월부터 저작권료 지급을 중단했다.     한음저협 관계자는 ""저작권료의 징수 및 분배 규정은 저작권법에 기초해 이뤄진다""며 ""저작권법에서 인공지능의 저작권을 인정하지 않고 있기 때문에 저작권료 지급도 중단한 것""이라고 설명했다.    AI의 저작권 인정 여부에 앞서 AI의 창작물이 기존 창작자의 저작권을 침해한 것이 아닌지를 따져야 한다는 지적도 있다.     AI가 창작물을 내기 위해 데이터를 학습하는 과정부터가 저작권 침해라는 주장이 대표적이다.     한음저협은 최근 AI가 기존 저작물을 학습용 데이터로 제한 없이 사용할 수 있게 한 저작권법 개정안에 대해 ""상업적·영리적 목적의 이용에 대해서도 제한 없이 데이터 사용을 허용하는 규정은 저작권자의 권익을 지나치게 해하는 결과를 초래할 수 있다""고 반대 의사를 밝혔다.    최근 해외에서는 캐나다의 유명 싱어송라이터 위켄드와 래퍼 드레이크가 협업한 신곡이라며 공개된 곡 '허트 온 마이 슬리브'가 AI로 두 사람의 목소리를 변형해 만든 가짜 음원이라는 것이 밝혀지면서 이 같은 논쟁이 불거지기도 했다.    두 사람의 소속사인 유니버설뮤직은 주요 음악 플랫폼에 이 곡의 삭제를 요청하면서 ""우리 아티스트의 음악을 이용한 생성형 AI 학습은 저작권법 위반""이라고 주장했다.     이 뿐 아니라 AI 기술이 보급될수록 누구나 기존 창작물을 이용한 2차 창작이 수월해지면서 발생하는 저작권 침해 사례도 늘 수 있다.    최승수 변호사는 지난 4월 AI와 K팝을 주제로 열린 콘퍼런스에서 ""AI가 창작한 콘텐츠가 나왔을 때 AI의 지분과 저작권을 따지기에 앞서 그 결과물이 자신의 저작권을 침해한 것이라 주장하는 원 권리자의 저항을 먼저 맞닥뜨릴 가능성이 높다""고 지적했다.  
'미드낫' 뮤직비디오 [빅히트뮤직·하이브IM 제공. 재판매 및 DB 금지]  K팝 시장에서 수요 높아…""기술 발맞춰 저작권 개념 진화해야""    이 같은 논쟁에도 불구하고 AI 기술에 대한 K팝 시장의 수요는 이미 높다.     이미 작곡과 프로듀싱 과정의 분업화 및 디지털화가 이뤄진 K팝 산업의 특성상 AI를 활용하면 그 생산성이 월등히 높아질 수 있기 때문이다.     거기다 기존 창작물에 저작권을 가진 음반사나 기획사가 AI를 활용해 2차 창작물을 내는 일은 저작권 침해 소지도 적다.    방탄소년단의 소속사 하이브가 최근 AI 오디오 기업 수퍼톤과 손을 잡고 소속 가수 이현의 목소리에 AI 기술을 접목해 탄생시킨 새로운 아티스트 '미드낫'이 대표적이다.     지난 달 나온 미드낫의 첫 싱글 '마스커레이드'는 AI의 도움을 받아 스페인어, 베트남어 등 6개 국어로 동시에 발매됐다. 곡 중간에는 남성인 미드낫의 목소리를 여성의 음색으로 바꾼 구간이 들어가기도 했다.    이 같은 하이브의 시도는 언어 장벽에 부딪혀왔던 해외 K팝 팬과 음악 종사자들 사이에서 관심을 끌고 있다.    9일까지 유튜브에서 81만회의 조회수를 기록한 '마스커레이드' 뮤직비디오에는 스페인어 등 다양한 언어로 된 댓글이 영어나 한국어만큼이나 많이 달렸다. 해외 K팝 팬들은 '스페인어로 된 K팝 노래를 듣다니 느낌이 색다르다'며 긍정적인 반응을 보였다.    미국의 음악 전문 매체 빌보드는 지난 17일 미드낫을 다룬 기사에서 ""청취자들로 하여금 어떤 언어 장벽도 넘어서도록 해 K팝 산업의 장애물을 어느 정도 해결해 줄 것으로 보인다""고 평가했다.     하이브는 미드낫 프로젝트의 반응과 성과를 분석한 뒤 추후 다른 소속 가수를 대상으로도 AI 기술 접목을 검토할 계획이다. 이 기술이 방탄소년단이나 세븐틴 등 인기 K팝 그룹에 접목된다면 폭발적인 시너지가 나올 수 있다는 전망도 나온다.  
미드낫(이현)[빅히트뮤직 제공. 재판매 및 DB 금지]    이규탁 한국조지메이슨대 교수는 ""K팝의 창작물은 이미 한두명의 창작력에 의존하기보다는 체계화된 작곡 시스템에 의해 만들어지는 경우가 많다""며 ""AI 활용에 대한 이질감이 적은 이유""라고 설명했다.     이어 ""창작 방식은 다양하고 복잡해졌는데 저작권이라는 개념이 이 같은 변화에 발맞추지 못하고 있다""며 ""기술 변화에 맞게 저작권의 개념을 새로 정립하고 AI가 참여한 창작물에 대해 어디까지 권리를 보장할 것인지에 대한 논의가 필요하다""고 말했다.    wisefool@yna.co.kr
]"
2023.05.28. 오전 7:00,"
			인공지능 열풍 합류한 가요계…기회일까, 위기일까 [N초점]
		",https://n.news.naver.com/mnews/article/421/0006833360?sid=106,"[
 
SM엔터테인먼트에서 내놓은 버추얼 아티스트 나이비스(서울=뉴스1) 안태현 기자 = 가요계에서도 인공지능(AI)에 대한 관심이 갈수록 높아지고 있다. 인공지능으로 제작한 가상가수를 비롯해 인공지능 기술을 이용한 음원 제작이 본격적으로 시작됐다. 많은 산업에서 인공지능이 주목받고 있는 상황에서, 음악 산업까지 발을 넓히고 있는 인공지능이 과연 K팝 시장에 어떤 영향을 미칠지에도 관심이 크다. 이러한 흐름에 적극적으로 나선 것은 하이브(352820)다. 하이브는 지난 15일 새로운 아티스트 '미드낫'을 발표했다. 하이브 산하 빅히트 뮤직 소속 가수인 이현이 새로운 음원 기술이 힘을 입어 탄생시킨 아티스트로, 인공지능을 이용한 목소리 변조, 다국어 발음 교정 기술이 접목됐다.기술의 원천은 지난 1월 하이브가 인수한 인공지능 오디오 기업인 수퍼톤에 있다. 수퍼톤이 개발한 다국어발음 교정 기술과 보이스 디자이닝 기술은 미드낫이 6개 언어로 가창한 노래 음원에 원어민 발음 데이터를 활용해 발음을 자연스럽게 교정하고, 남성 보컬인 미드낫의 목소리를 인공지능 기술을 기반해 여성 보컬로 새롭게 디자인했다. 
(왼쪽부터) 정우용 하이브IM 대표, 미드낫, 신영재 빅히트 뮤직 대표/ 사진제공=하이브미드낫은 앞서 진행된 기자간담회에서 이러한 기술과 음악의 만남에 대해 ""경이로웠다""라는 인상을 전하기도. 정우용 하이브IM 대표 역시 이런 프로젝트를 진행하게 된 계기에 대해 ""음악과 기술의 만남을 통해 하이브의 본질인 음악과 아티스트의 가치를 새롭게 제공하고 새로운 음악을 추구하고자 했다""라며 ""그 결과 기술을 활용해 뮤지션이 가지고 있는 상상력을 확장하고자 했다""라고 설명했다.그 결과, 탄생한 미드낫은 이현의 창법을 그대로 유지한 채 남성 보컬과 여성 보컬을 자유자재로 넘나들게 만들었다. 여기에 원어민 수준의 6개 국어 음원들로 눈길을 끌었다. 이에 대해 신영재 빅히트 뮤직 대표는 ""음악 산업에 새로운 변화를 일으키는 계기가 되길 바란다""라며 ""물리적 제약을 넘어 상상력의 한계 없이 나아갈 수 있게 됐다""라고 자평했다.SM엔터테인먼트(041510)도 인공지능 기술을 접목한 아티스트를 선보였다. 바로 걸그룹 에스파의 세계관 속에 등장하던 조력자 캐릭터 '나이비스'다. 버추얼 아티스트인 나이비스는 모션과 목소리 모두 인공지능으로 만들어낸 아티스트다. 기존의 가상 아이돌은 모션과 목소리 모두 실제 가수를 기반으로 만들어졌지만, 나이비스는 현실에 실체가 없다는 점에서 차이가 크다.특히 나이비스는 지난 8월 발매된 에스파의 정규 3집 수록곡인 '웰컴 투 마이월드'(Welcome To MY World)에 피처링으로 참여하면서 더욱 관심을 모았다.  
ⓒ News1 DB인공지능과 대중가요의 결합은 기대와 우려의 목소리를 동시에 낳고 있기도 하다. 우려의 측면에서 가장 큰 부분을 차지하는 것은 '노래를 부르는' 가수의 본질을 흐릴 수 있다는 점이다. '가수'라는 직업의 본질이 흐려지는 기술로 인해 K팝 시장이 약화될 수 있다는 지적들도 이어졌다. 하지만 일각에서는 K팝 산업의 성장을 위해서는 인공지능이라는 미래 먹거리를 선점해야 함도 필요하다고 목소리를 냈다.이와 관련, 김헌식 대중문화평론가는 뉴스1에 ""하이브가 인공지능 기술을 발전시키고 새로운 사업에 도전하는 것은 외연을 확장한다는 관점에서는 바람직할 수 있다고 생각은 하지만, 과연 이게 K팝 시장에 긍정적인 영향을 줄 수 있을지는 의문""이라고 밝혔다. 이어 ""방탄소년단의 성공 요인이라고 한다면 기존 가수들에게서 발견할 수 없었던 아티스트에 대한 매력을 팬들이 본질적으로 느꼈다는 점인데 인공지능은 그것과는 전혀 반대 지점에 있다""라며 ""라이브를 할 수도 없고, 실제 아티스트의 목소리로 팬미팅을 할 수 있는 것도 아니다""라고 설명했다. 김 평론가는 ""최근 K팝 산업이 인공지능 사업에 어마어마한 금액을 사용하고 있는 것으로 안다""라면서도 ""하지만 실질적으로 수익은 코로나19로 인한 비대면 상황이 끝나고나서 공연으로 나온다는 것을 확인한 순간에, 대면이 어려운 버추얼 아티스트 시장을 키우겠다는 걸 지속해 경영상 타격을 입게 되면 결국 이게 K팝 시장의 약화를 촉진시킬 수 있다는 것도 생각해봐야하는 시점""이라고 덧붙였다. 가요관계자 A씨도 ""인공지능 기술을 이용해서 목소리를 변조한 가수가 과연 라이브로 무대에 설 수 있냐부터가 문제의 본질이라고 본다""라며 ""기본적으로 가수라고 한다면 라이브 무대를 소화할 수 있어야 하는데 미드낫이 실제로 라이브 무대에 선다면 여성 보컬의 목소리는 결국 음원으로 나와야 된다는 것인데, 여기서부터 과연 이걸 받아들일 수 있느냐라는 시선이 나올 것""이라고 했다.  
SM엔터테인먼트가 제작한 버추얼 아티스트 나이비스그러나 다른 관계자 B씨는 ""K팝 시장이 많이 성장했다고는 하지만 여전히 나아가야 할 길이 많다""라며 ""특히 음원 기술의 선점은 세계 음악 시장에서 퍼스트무버로서 역할을 할 수 있다는 점에서 긍정적으로 볼 수 있다""라고 긍정적인 시선을 드러냈다. 이어 ""당장 K팝 시장이 폭발적인 상승세를 보일 때 기술 활용을 이용한 글로벌 음악 시장에서의 입지를 다진다면 향후 K팝 산업이 더욱 커질 수 있는 기회가 될 것""이라고 말했다.
			]"
